title,season,num_series,num_season,airdate,summary
Gem Glow,1,1,1,,Steven thinks his favorite ice cream sandwiches are the trick to summoning his magic shield but learns otherwise when facing off with an acid-spewing insect monster.[1]
Laser Light Cannon,1,2,2,,"A magical comet hurtles toward Beach City, and Steven must dig through his father's collection of old junk, and the past, to find the weapon that can save the town.[1]"
Cheeseburger Backpack,1,3,3,,"A mission to the Lunar Sea Spire takes a treacherous turn, but Steven has packed his totally amazing Cheeseburger Backpack with anything they could ever need![1]"
Together Breakfast,1,4,4,,"Steven tries to get the Crystal Gems to take part in his special breakfast tradition, but instead finds himself tumbling through the magical rooms of the Crystal Gems' Temple.[1]"
Frybo,1,5,5,,Steven helps a Boardie kid with his grueling job by using a magical gem shard that can bring clothing to life.[1]
Cat Fingers,1,6,6,,"Steven attempts to master the power of shape shifting, but can only shape shift his fingers into tiny cat heads.[1]"
Bubble Buddies,1,7,7,,"Steven looks like a hero when he forms a magic crystal bubble around himself to protect a girl he likes from danger, but then panics when he can't figure out how to turn the bubble off![2]"
Serious Steven,1,8,8,,Steven tries to prove himself to be a worthy Crystal Gem to Garnet while they navigate their way out of an ancient Gem maze.[1]
Tiger Millionaire,1,9,9,,Steven joins Amethyst in an underground wrestling league.[1]
Steven's Lion,1,10,10,,Steven makes friends with a magical lion but can't quite tell why it likes him.[1]
Arcade Mania,1,11,11,,Steven takes the Crystal Gems to Funland Arcade where Garnet learns the allure of video games.[1]
Giant Woman,1,12,12,,"During a mission to the Sky Spire, Steven tries to convince Amethyst and Pearl to fuse together and become a giant woman.[1]"
So Many Birthdays,1,13,13,,Steven learns that the Crystal Gems are thousands of years old and decides to make up for all the thousands of birthdays they have missed.[2]
Lars and the Cool Kids,1,14,14,,"Steven and Lars get to hang out with the cool kids in town, but their teenage shenanigans get them into magical trouble.[2]"
Onion Trade,1,15,15,,A toy trade between Steven and Onion escalates to epic proportions.[1]
Steven the Sword Fighter,1,16,16,,Pearl tries to teach Steven the art of sword-fighting using a holographic version of herself.[1]
Lion 2: The Movie,1,17,17,,"Steven and Connie try to ride Lion to the movie theater, but Lion has other ideas.[1]"
Beach Party,1,18,18,,"After a battle damages Fish Stew Pizza, Steven throws a cookout at the Temple to mend the relationship between the Pizza family and the Crystal Gems.[1]"
Rose's Room,1,19,19,,Steven's desire for some alone-time unlocks a new room in the Temple that answers his every wish.[1]
Coach Steven,1,20,20,,"After seeing Garnet and Amethyst fuse together into the powerful Sugilite, Steven gets determined to become super strong.[1]"
Joking Victim,1,21,21,,"When Lars pawns off all his work on Sadie, Steven helps out by working a shift at the Big Donut.[1]"
Steven and the Stevens,1,22,22,,"Steven needs a musical partner for an upcoming show, and uses a time travel device to recruit the perfect bandmate: HIMSELF![1]"
Monster Buddies,1,23,23,,"Steven accidentally releases a monster from a gem bubble and attempts to tame its wild, violent instincts.[1]"
An Indirect Kiss,1,24,24,,"When Amethyst cracks her gemstone, Steven and the Crystal Gems go on a mission to heal her.[1]"
Mirror Gem,1,25,25,,Steven befriends a magical mirror that can mysteriously communicate with him.[1]
Ocean Gem,1,26,26,,"The ocean disappears on the first day of summer, and Beach City is in a panic.[1]"
House Guest,1,27,27,,"After injuring his leg, Greg comes to live with Steven and unintentionally interferes with Steven's powers.[3]"
Space Race,1,28,28,,Steven attempts to build a spaceship to let Pearl revisit the wonders of the cosmos.[3]
